"prefecture_name","total_cases","total_fatalities","peak_daily_cases","peak_date"
"Japan (National)","33801700","26685016",40406,"2022-07-26"
"Tokyo","4388251","3626630",40406,"2022-07-28"
"Osaka","2852034","3805874",25762,"2022-07-26"
"Kanagawa","2239862","1765410",29733,"2022-08-04"
"Aichi","2124860","1671050",18985,"2022-08-18"
"Saitama","1814890","1443477",13991,"2022-08-05"
"Fukuoka","1596871","1086882",15716,"2022-08-19"
"Chiba","1478302","1458512",11777,"2022-07-28"
"Hyogo","1478292","1716944",14519,"2023-01-23"
"Hokkaido","1362960","1843546",11394,"2022-11-21"
"Shizuoka","872958","408081",9475,"2023-01-06"
"Hiroshima","812113","422770",8773,"2022-08-20"
"Kyoto","684618","571904",6891,"2022-08-03"
"Ibaraki","642580","401489",5542,"2023-01-07"
"Okinawa","583654","413158",6180,"2022-08-03"
"Gifu","548249","352056",5695,"2023-01-04"
"Miyagi","544387","244672",4784,"2022-08-20"
"Kumamoto","537726","344901",14028,"2022-08-22"
"Okayama","494204","244147",5332,"2023-01-06"
"Nagano","467682","225968",4328,"2022-11-22"
"Niigata","466348","109662",4486,"2022-08-14"
"Mie","464375","300461",5457,"2023-01-11"
"Kagoshima","444973","231912",5209,"2023-01-04"
"Gunma","444804","322484",12187,"2022-08-16"
"Tochigi","427985","285534",5212,"2022-07-31"
"Fukushima","410460","233627",10920,"2022-08-16"
"Shiga","376552","200618",3281,"2022-08-19"
"Nara","349605","292769",3262,"2022-08-19"
"Nagasaki","338745","168204",9233,"2022-08-22"
"Miyazaki","321873","181110",4914,"2022-08-12"
"Ehime","319199","175343",5219,"2023-01-04"
"Yamaguchi","317025","203968",5097,"2023-01-04"
"Oita","305979","192672",3998,"2023-01-05"
"Aomori","283617","156111",10169,"2022-11-28"
"Ishikawa","283151","188183",2885,"2022-08-19"
"Saga","262446","118942",3593,"2023-01-04"
"Kagawa","255505","149747",3211,"2023-01-04"
"Wakayama","241461","139418",2692,"2023-01-05"
"Toyama","240842","101676",2895,"2022-08-19"
"Iwate","238133","139154",2699,"2022-12-19"
"Yamagata","231254","106829",2209,"2022-11-21"
"Akita","203741","126333",2132,"2022-12-12"
"Fukui","202715","62139",1863,"2022-08-19"
"Yamanashi","193916","93171",4277,"2022-08-22"
"Kochi","170186","143646",3018,"2023-02-06"
"Shimane","169939","54177",1970,"2023-01-04"
"Tokushima","168196","111845",3182,"2022-08-24"
"Tottori","144182","47810",1795,"2023-01-05"
